Drug A,Drug B
DB00076,DB16376
DB00078,DB08496
DB00078,DB14055
DB00078,DB02806
DB00078,DB03410
DB00078,DB13068
DB00080,DB08496
DB00080,DB14055
DB00080,DB03410
DB00080,DB01048
DB00080,DB12001
DB00081,DB08496
DB00081,DB14055
DB00081,DB02806
DB00081,DB03410
DB00081,DB13068
DB00082,DB08496
DB00082,DB14055
DB00082,DB11898
DB00082,DB12258
DB00082,DB00284
DB00083,DB12537
DB00083,DB13940
DB00083,DB01484
DB00083,DB01472
DB00083,DB14010
DB00085,DB09501
DB00085,DB13949
DB00085,DB13423
DB00085,DB15598
DB00085,DB11576
DB00086,DB14093
DB00086,DB08496
DB00086,DB14055
DB00086,DB01481
DB00086,DB01543
DB00087,DB08496
DB00087,DB14055
DB00087,DB02806
DB00087,DB03410
DB00087,DB13068
DB00089,DB16077
DB00089,DB00054
DB00089,DB12775
DB00089,DB15076
DB00089,DB16376
DB00091,DB08496
DB00091,DB14055
DB00091,DB04581
DB00091,DB12537
DB00091,DB02806
DB00092,DB02806
DB00092,DB13068
DB00092,DB01281
DB00092,DB06662
DB00092,DB12996
DB00093,DB01161
DB00093,DB00451
DB00093,DB00281
DB00093,DB00279
DB00093,DB01583
DB00095,DB02806
DB00095,DB13068
DB00095,DB16077
DB00095,DB01281
DB00095,DB00054
DB00098,DB02806
DB00098,DB13068
DB00098,DB16077
DB00098,DB01281
DB00098,DB00054
DB00099,DB00290
DB00099,DB00531
DB00099,DB01030
DB00099,DB00570
DB00099,DB13374
DB00100,DB08496
DB00100,DB14055
DB00100,DB03410
DB00100,DB00054
DB00100,DB01418
DB00103,DB15874
DB00103,DB01118
DB00103,DB00608
DB00103,DB00798
DB00104,DB08496
DB00104,DB14055
DB00104,DB11898
DB00104,DB12515
DB00104,DB12001
DB00105,DB08496
DB00105,DB14055
DB00105,DB02806
DB00105,DB07954
DB00105,DB03410
DB00107,DB12565
DB00107,DB01615
DB00107,DB13691
DB00107,DB09488
DB00107,DB00640
DB00108,DB02806
DB00108,DB13068
DB00108,DB16077
DB00108,DB01281
DB00108,DB00054
DB00109,DB14685
DB00109,DB11003
DB00109,DB10804
DB00109,DB16648
DB00109,DB10343
DB00110,DB16077
DB00110,DB00054
DB00110,DB12775
DB00110,DB15076
DB00110,DB16376
DB00111,DB02806
DB00111,DB13068
DB00111,DB16077
DB00111,DB01281
DB00111,DB00054
DB00112,DB16077
DB00112,DB00054
DB00112,DB12775
DB00112,DB15076
DB00112,DB00511
DB00113,DB16077
DB00113,DB00054
DB00113,DB12775
DB00113,DB15076
DB00113,DB16376
DB00115,DB01048
DB00115,DB06736
DB00115,DB13783
DB00115,DB00819
DB00115,DB00945
DB00116,DB01629
DB00116,DB08878
DB00116,DB13795
DB00116,DB01101
DB00116,DB00564
DB00118,DB00316
DB00118,DB01223
DB00118,DB06728
DB00118,DB01086
DB00118,DB06770
DB00120,DB08496
DB00120,DB14055
DB00120,DB02806
DB00120,DB03410
DB00120,DB13068
DB00122,DB03128
DB00122,DB00787
DB00122,DB08838
DB00122,DB00915
DB00122,DB00594
DB00126,DB01467
DB00126,DB13940
DB00126,DB01484
DB00126,DB06723
DB00126,DB00182
DB00127,DB00787
DB00127,DB00915
DB00127,DB01114
DB00127,DB00122
DB00127,DB14006
DB00130,DB00581
DB00132,DB09053
DB00134,DB01235
DB00135,DB01235
DB00136,DB08496
DB00136,DB14055
DB00136,DB13097
DB00136,DB06117
DB00136,DB12515
DB00139,DB00945
DB00139,DB00787
DB00139,DB00345
DB00139,DB11901
DB00139,DB00168
DB00140,DB00659
DB00140,DB00787
DB00140,DB00718
DB00140,DB00345
DB00140,DB01197
DB00142,DB01467
DB00142,DB13940
DB00142,DB01484
DB00142,DB00182
DB00142,DB00865
DB00145,DB00511
DB00145,DB13691
DB00145,DB01078
DB00145,DB01396
DB00145,DB00390
DB00146,DB13097
DB00146,DB06117
DB00146,DB00511
DB00146,DB13691
DB00146,DB04630
DB00150,DB08496
DB00150,DB14055
DB00150,DB12537
DB00150,DB01467
DB00150,DB13940
DB00152,DB00787
DB00152,DB08838
DB00152,DB00915
DB00152,DB01114
DB00152,DB14006
DB00153,DB13097
DB00153,DB06117
DB00153,DB00511
DB00153,DB13691
DB00153,DB04630
DB00155,DB00819
DB00155,DB00945
DB00155,DB00787
DB00155,DB00718
DB00155,DB00345
DB00158,DB01629
DB00158,DB01048
DB00158,DB12001
DB00158,DB00659
DB00158,DB06736
DB00159,DB08496
DB00159,DB14055
DB00159,DB04581
DB00159,DB01467
DB00159,DB13940
DB00162,DB02699
DB00162,DB00459
DB00162,DB00523
DB00162,DB00307
DB00162,DB13528
DB00163,DB08496
DB00163,DB14055
DB00163,DB03410
DB00163,DB12515
DB00163,DB11932
DB00165,DB01048
DB00165,DB06736
DB00165,DB13783
DB00165,DB00819
DB00165,DB00945
DB00166,DB11898
DB00166,DB00284
DB00166,DB00414
DB00166,DB01700
DB00166,DB13233
DB00168,DB00659
DB00168,DB00787
DB00168,DB00718
DB00168,DB00437
DB00168,DB00345
DB00169,DB13097
DB00169,DB06117
DB00169,DB01472
DB00169,DB14010
DB00169,DB11932
DB00170,DB13884
DB00170,DB00058
DB00170,DB00009
DB00170,DB06679
DB00170,DB00513
DB00173,DB01048
DB00173,DB00316
DB00173,DB03496
DB00173,DB15059
DB00173,DB01076
DB00175,DB08496
DB00175,DB14055
DB00175,DB03410
DB00175,DB12001
DB00175,DB14973
DB00176,DB08496
DB00176,DB14055
DB00176,DB01562
DB00176,DB12537
DB00176,DB11898
DB00177,DB08496
DB00177,DB14055
DB00177,DB04581
DB00177,DB01467
DB00177,DB13940
DB00178,DB04581
DB00178,DB01467
DB00178,DB13940
DB00178,DB01484
DB00178,DB01472
DB00179,DB06742
DB00179,DB09009
DB00179,DB01086
DB00179,DB06770
DB00179,DB00297
DB00180,DB08496
DB00180,DB14055
DB00180,DB01481
DB00180,DB02365
DB00180,DB05107
DB00181,DB12537
DB00181,DB11898
DB00181,DB13940
DB00181,DB01484
DB00181,DB01472
DB00182,DB01562
DB00182,DB04581
DB00182,DB01467
DB00182,DB13940
DB00182,DB07954
DB00183,DB05381
DB00184,DB02365
DB00184,DB01467
DB00184,DB13940
DB00184,DB01484
DB00184,DB01472
DB00185,DB01562
DB00185,DB02365
DB00185,DB01472
DB00185,DB14010
DB00185,DB01048
DB00186,DB12537
DB00186,DB13940
DB00186,DB07954
DB00186,DB01484
DB00186,DB01472
DB00187,DB01562
DB00187,DB04581
DB00187,DB02365
DB00187,DB01467
DB00187,DB13940
DB00188,DB08496
DB00188,DB14055
DB00188,DB01562
DB00188,DB02806
DB00188,DB03410
DB00189,DB12537
DB00189,DB13940
DB00189,DB01484
DB00189,DB01472
DB00189,DB14010
DB00190,DB01048
DB00190,DB01193
DB00190,DB06736
DB00190,DB13783
DB00190,DB00316
DB00191,DB04581
DB00191,DB11898
DB00191,DB01467
DB00191,DB13940
DB00191,DB07954
DB00193,DB08496
DB00193,DB14055
DB00193,DB01562
DB00193,DB02365
DB00193,DB12537
DB00194,DB00437
DB08313,DB06742
DB08313,DB09009
DB08313,DB01086
DB08313,DB06770
DB08313,DB00297
DB08329,DB12537
DB08329,DB11898
DB08329,DB13940
DB08329,DB07954
DB08329,DB01484
DB08382,DB11898
DB08382,DB07996
DB08382,DB08550
DB08382,DB00284
DB08382,DB01193
DB08399,DB12629
DB08399,DB03374
DB08399,DB00316
DB08399,DB13804
DB08399,DB00389
DB08437,DB08496
DB08437,DB14055
DB08437,DB03410
DB08437,DB01048
DB08437,DB06736
DB08439,DB08496
DB08439,DB14055
DB08439,DB04581
DB08439,DB01467
DB08439,DB13940
DB08455,DB13528
DB08455,DB00453
DB08455,DB04839
DB08455,DB00618
DB08455,DB13857
DB08486,DB06742
DB08486,DB09009
DB08486,DB01086
DB08486,DB06770
DB08486,DB00297
DB08496,DB14093
DB08496,DB14055
DB08496,DB01481
DB08496,DB01543
DB08496,DB13940
DB08502,DB08496
DB08502,DB14055
DB08502,DB01281
DB08502,DB05812
DB08502,DB00051
DB08550,DB08496
DB08550,DB14055
DB08550,DB12537
DB08550,DB11898
DB08550,DB01467
DB08619,DB08496
DB08619,DB14055
DB08619,DB03410
DB08619,DB00054
DB08619,DB01418
DB08621,DB08496
DB08621,DB14055
DB08621,DB03410
